VCO Calibration
Date: 2016_05_12, 12:08
Voltage [V];Frequency [MHz]
0.0;2583.3
0.1;2596.8
0.2;2609.4
0.3;2621.2
0.4;2632.4
0.5;2642.9
0.6;2652.8
0.7;2662.2
0.8;2671.1
0.9;2683.5
1.0;2691.4
1.1;2702.4
1.2;2712.7
1.3;2722.2
1.4;2731.2
1.5;2742.3
1.6;2752.5
1.7;2761.9
1.8;2770.7
1.9;2780.7
2.0;2789.9
2.1;2798.4
2.2;2807.7
2.3;2817.5
2.4;2826.4
2.5;2835.5
2.6;2844.7
2.7;2853.8
2.8;2862.6
2.9;2871.8
3.0;2881.5
3.1;2890.8
3.2;2900.4
3.3;2909.75
3.4;2919.36
3.5;2928.16
3.6;2936.87
3.7;2945.06
3.8;2953.01
3.9;2960.57
4.0;2967.74
4.1;2974.49
4.2;2980.77
4.3;2987.01
4.4;2992.86
