VCO Calibration
Date: 2017_11_17, 10:34
Voltage [V];Frequency [MHz]
0.0;2587.6
0.1;2595.53
0.2;2610.6
0.3;2622.2
0.4;2633.47
0.5;2644.45
0.6;2655.16
0.7;2665.7
0.8;2676.07
0.9;2686.27
1.0;2696.36
1.1;2706.365
1.2;2716.24
1.3;2725.95
1.4;2735.57
1.5;2745.12
1.6;2754.54
1.7;2763.87
1.8;2773.27
1.9;2782.67
2.0;2791.99
2.1;2801.28
2.2;2810.54
2.3;2819.82
2.4;2829.0
2.5;2838.18
2.6;2847.4
2.7;2856.63
2.8;2865.79
2.9;2874.99
3.0;2884.14
3.1;2893.29
3.2;2902.25
3.3;2911.06
3.4;2919.82
3.5;2928.4
3.6;2936.78
3.7;2944.95
3.8;2952.88
3.9;2960.53
4.0;2967.81
4.1;2974.77
4.2;2981.41
4.3;2987.75
4.4;2993.77
4.5;2999.55
4.6;3005.05
4.7;3010.28
4.8;3015.28
4.9;3020.07
5.0;3024.62
